nameAr,barcode,gtin,activeIngredients,strength,dosageForm,manufacturer,officialPrice,requiresPrescription,source
LOSARTAN 100MG 14 SCORED F.C.TAB.,,,LOSARTAN POTASSIUM,,ORAL.SOLID,MEPACO,36.0,,Elhafez Reference 25065
LOSARTAN 50MG 14 TAB.,,,LOSARTAN POTASSIUM,,UNKNOWN,PHAROPHARMA,18.0,,Elhafez Reference 25065
LOSARTAN BLUEPHARMA 100MG 10 SCORED F.C.TAB,,,LOSARTAN POTASSIUM,,ORAL.SOLID,BLUEPHARMA GENERICOS > NOOR SCIENTIFIC & TRADE,25.0,,Elhafez Reference 25065
LOSARTAN-AMRIYA 50MG 10 TAB.,,,LOSARTAN POTASSIUM,,ORAL.SOLID,AMRIYA,21.6,,Elhafez Reference 25065
LOSARTAN-COMP 50/12.5MG 14 TAB.,,,HYDROCHLOROTHIAZIDE+LOSARTAN,,ORAL.SOLID,PHAROPHARMA,21.6,,Elhafez Reference 25065
LOSAZIDE 100/25MG 10 F.C. TABS.,,,HYDROCHLOROTHIAZIDE+LOSARTAN,,ORAL.SOLID,EIPICO,25.0,,Elhafez Reference 25065
LOSAZIDE 50/12.5MG 10 F.C.TABS. (N/A),,,HYDROCHLOROTHIAZIDE+LOSARTAN,,ORAL.SOLID,EIPICO,15.6,,Elhafez Reference 25065
LOSAZIDE 50/12.5MG 30 F.C.TABS.,,,HYDROCHLOROTHIAZIDE+LOSARTAN,,ORAL.SOLID,EIPICO,66.0,,Elhafez Reference 25065
LOSCHIZO 5 MG 20 SUBLINGUAL TABS.,,,ASENAPINE,,ORAL.SOLID,MASH PREMIERE,199.0,,Elhafez Reference 25065
LOSEC 20MG 7 CAPS.(CANCELLED),,,OMEPRAZOLE,,ORAL.SOLID,ASTRA ZENECA,32.4,,Elhafez Reference 25065
LOSEC 40MG/ML PWD. FOR I.V. INF. VIAL(CANCELLED),,,OMEPRAZOLE,,INJECTION,ASTRA ZENECA,54.25,,Elhafez Reference 25065
LOSEC MUPS 10 MG 7 GASTRO-RESISTANT TABS.(CANCELLED),,,OMEPRAZOLE,,UNKNOWN,ASTRA ZENECA,18.0,,Elhafez Reference 25065
LOSIPROST 0.4 MG 30 CAPS. (N/A),,,TAMSULOSIN,,ORAL.SOLID,EUROPEAN EGYPTIAN PHARM. IND. > PHARMA-TECH,60.0,,Elhafez Reference 25065
LOSTAPRESSIN 100 MG 14 F.C. TABS.,,,LOSARTAN POTASSIUM,,ORAL.SOLID,DELTA PHARMA,36.0,,Elhafez Reference 25065
LOSTAPRESSIN 25 MG 21 F.C. TABS.,,,LOSARTAN POTASSIUM,,ORAL.SOLID,DELTA PHARMA,27.75,,Elhafez Reference 25065
LOSTAPRESSIN 50 MG 21 F.C. TABS.,,,LOSARTAN POTASSIUM,,ORAL.SOLID,DELTA PHARMA,33.0,,Elhafez Reference 25065
LOSTAPRESSIN PLUS 100/25MG 10 F.C. TABS.,,,HYDROCHLOROTHIAZIDE+LOSARTAN,,ORAL.SOLID,DELTA PHARMA,24.0,,Elhafez Reference 25065
LOSTRAMIX 10 SACHETS,,,PROBIOTIC+ZINC+LACTOFERRIN,,EFF,> THERAPY INC. INTERNATIONAL,130.0,,Elhafez Reference 25065
LOTACAL 30 F.C. TABS.,,,CALCIUM+VITAMIN D3,,ORAL.SOLID,UNIPHARMA CO. > AL HADIDI PHARMA,20.25,,Elhafez Reference 25065
LOTENDOR 5/160/12.5MG 30 F.C. TAB.,,,AMLODIPINE+HYDROCHLOROTHIAZIDE+VALSARTAN,,ORAL.SOLID,AL ESRAA PHARMACEUTICAL OPTIMA,78.0,,Elhafez Reference 25065
LOTENSINE 25MG 20 TAB.,,,CAPTOPRIL,,ORAL.SOLID,KAHIRA,11.0,,Elhafez Reference 25065
LOTERANOL 0.5% EYE GEL 5 GM,,,LOTEPREDNOL ETABONATE,,EYE,ORCHIDIA,47.0,,Elhafez Reference 25065
LOTERANOL 0.5% EYE OINT. 5 GM,,,LOTEPREDNOL ETABONATE,,EYE,ORCHIDIA,47.0,,Elhafez Reference 25065
